Location,Synopsis
Swindon SN25,"You will be maintaining data systems and reporting, transforming and cleaning data lakes and resolving department queries."
Birmingham B68,Experience of building a data warehouse is very desirable.Design and development of databases and data warehouses in SQL Server.
Tamworth B77,"As part of this ERP change programme, we are looking for data analyst to work on improving our master data currently held in 10 separate systems."
London,The Business Intelligence Analyst will support the department in extracting data and building reports from a range of sources – both internal and external and…
Birmingham,Analysing data to answer key business questions on digital data journeys.Analysing data to understand the core drivers of customer behaviour.
Remote in London,"Knowledge in data analytics, data intelligence and statistics (some experience is a plus).Experience with analytics software (MS excel, google data studio,…"
+1 locationRemote,Source data from a collection of trusted data sources.You have a passion for data and genuine interest in the data and analytics space.
Hybrid remote in London E14,"Interpret data and present reports.Experience of large data sets.Manipulate large data sets for stakeholders.Job Types: Full-time, Permanent."
Hybrid remote in London,The role will provide business insights and data to various departments in support of performance management activities.
Remote,"Support business intelligence reporting and facilitate analysis across Onward through production and maintenance of tables, data models and governed metrics and…"
Remote,"Demonstrable experience in the area of data quality, metadata management, and data cataloguing.Experience influencing an organisation and its people into…"
Macclesfield SK11,38 days annual leave inclusive of Bank and Public Holidays.2 weeks additional leave at Christmas close.Free secure campus parking and excellent transport…
Remote,Support and collaboration with our external Salesforce partner.
Knutsford,"As a Junior Data Insights Analyst you will called upon your knowledge and expertise of SQL, PowerBI, Python and ETL pipelines to successfully report data within…"
Birmingham B47,"You’ll look at care data, undertaking regular data audits and cleansing to ensure all data complies with legal requirements.£28k - £31k per annum."
Birmingham B68,Experience of building a data warehouse is very desirable.Design and development of databases and data warehouses in SQL Server.
Swindon SN25,"You will be maintaining data systems and reporting, transforming and cleaning data lakes and resolving department queries."
Worcester WR1,Essential skills: experience of conducting data analysis using Excel and previous use of SPSS or a similar program; strong written and verbal communication…
Remote in United Kingdom,Consolidate Google Analytics and Google Search Console data with Frontiers Data Warehouse (DWH) and other data sources.
Remote in Croydon+2 locations,"For a business analyst, the Home Office offers projects with the scale and complexity to challenge any level of expertise.Job Types: Full-time, Permanent."
Tamworth B77,"As part of this ERP change programme, we are looking for data analyst to work on improving our master data currently held in 10 separate systems."
London,The Business Intelligence Analyst will support the department in extracting data and building reports from a range of sources – both internal and external and…
Birmingham,Analysing data to answer key business questions on digital data journeys.Analysing data to understand the core drivers of customer behaviour.
Remote in London,"Knowledge in data analytics, data intelligence and statistics (some experience is a plus).Experience with analytics software (MS excel, google data studio,…"
+1 locationRemote,Source data from a collection of trusted data sources.You have a passion for data and genuine interest in the data and analytics space.
Hybrid remote in London,The role will provide business insights and data to various departments in support of performance management activities.
Hybrid remote in London E14,"Interpret data and present reports.Experience of large data sets.Manipulate large data sets for stakeholders.Job Types: Full-time, Permanent."
Remote,"Support business intelligence reporting and facilitate analysis across Onward through production and maintenance of tables, data models and governed metrics and…"
Remote,"Demonstrable experience in the area of data quality, metadata management, and data cataloguing.Experience influencing an organisation and its people into…"
Macclesfield SK11,38 days annual leave inclusive of Bank and Public Holidays.2 weeks additional leave at Christmas close.Free secure campus parking and excellent transport…
Birmingham B68,Experience of building a data warehouse is very desirable.Design and development of databases and data warehouses in SQL Server.
Swindon SN25,"You will be maintaining data systems and reporting, transforming and cleaning data lakes and resolving department queries."
United Kingdom,"Resolve data quality problems and collaborate with database developers and data engineers to improve systems, database designs and data pipelines."
London,The Business Intelligence Analyst will support the department in extracting data and building reports from a range of sources – both internal and external and…
Birmingham,Analysing data to answer key business questions on digital data journeys.Analysing data to understand the core drivers of customer behaviour.
Remote in London,"Knowledge in data analytics, data intelligence and statistics (some experience is a plus).Experience with analytics software (MS excel, google data studio,…"
+1 locationRemote,Source data from a collection of trusted data sources.You have a passion for data and genuine interest in the data and analytics space.
Remote,"Support business intelligence reporting and facilitate analysis across Onward through production and maintenance of tables, data models and governed metrics and…"
